index,weather,distance,speed
0,ClearNoon,5,4
1,ClearNoon,5,6
2,ClearNoon,5,8
3,ClearNoon,10,4
4,ClearNoon,10,6
5,ClearNoon,10,8
6,ClearNoon,15,4
7,ClearNoon,15,6
8,ClearNoon,15,8
9,HardRainNoon,5,4
10,HardRainNoon,5,6
11,HardRainNoon,5,8
12,HardRainNoon,10,4
13,HardRainNoon,10,6
14,HardRainNoon,10,8
15,HardRainNoon,15,4
16,HardRainNoon,15,6
17,HardRainNoon,15,8
18,ClearSunset,5,4
19,ClearSunset,5,6
20,ClearSunset,5,8
21,ClearSunset,10,4
22,ClearSunset,10,6
23,ClearSunset,10,8
24,ClearSunset,15,4
25,ClearSunset,15,6
26,ClearSunset,15,8
27,ClearNoon,100,0
28,HardRainNoon,100,0
29,ClearSunset,100,0
